"Category","Severity","Issue Name","Affected Targets","Status","Impact","Ease of Implementation","Urgency","Issue Priority","Due Date","Owner","Notes"
"Authentication Types;Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Critical","Disable and Enforce ""Microsoft network client: Send unencrypted password to third-party SMB servers"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Types;oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Critical","Enable and Enforce ""Network security: Do not store LAN Manager hash value on next password change"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Critical","Enable and Enforce the Setting ""Turn off Autoplay"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Critical","Configure and Enforce the Setting ""Windows Firewall: Domain: Firewall state"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Critical","Configure and Enforce the Setting ""Windows Firewall: Private: Firewall state"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Availability and Business Continuity;Cluster Resource;oms_SQL;Resiliency","Critical","SQL Server Network Name has missing registry checkpoints","LIMCVHDBL.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Critical","Investigate slow disk read times.","LIMCVHSQL04.XYZ.DOM.MBC\E:\","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Critical","Investigate slow disk write times.","LIMCVHSQL04.XYZ.DOM.MBC\E:\","Failed",,,,,,,
"oms_Security;oms_Windows Server;Password Attributes;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Enforce Security Setting ""Accounts: Limit local account use of blank passwords to console logon only"" with GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;Protocol Configuration;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","High","Configure the ""Domain controller: LDAP server signing requirements"" Setting to Require Signing and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
