record_id,object_id,normalized_object,impacted_objects,finding_category,risk_level,finding_name,fixed,priority_rank,level_of_effort,assigned_to,notes,exception,exception_notes,exception_proof,start_date,end_date
1,1,DATACENTERSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,1,High,ORG\jasmine.clark,Sample note for object 1,Other,Other related note for object 1,mailto:example1@example.com,2/5/2025 0:00,NULL
1,1,DATACENTERSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,1,High,ORG\jasmine.clark,Sample note for object 1,Other,Other related note for object 1,mailto:example1@example.com,2/5/2025 0:00,NULL
1,2,DATACENTERSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,Y,2,High,ORG\charlie.stone,NULL,STIG,STIG related note for object 2,mailto:example2@example.com,3/7/2025 0:00,5/24/2025 0:00
1,2,DATACENTERSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,Y,2,High,ORG\charlie.stone,NULL,STIG,STIG related note for object 2,mailto:example2@example.com,3/7/2025 0:00,5/24/2025 0:00
1,3,DATACENTERAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,3,High,ORG\charlie.stone,Sample note for object 3,STIG,STIG related note for object 3,mailto:example3@example.com,2/26/2025 0:00,NULL
1,3,DATACENTERAG01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,3,High,ORG\charlie.stone,Sample note for object 3,STIG,STIG related note for object 3,mailto:example3@example.com,2/26/2025 0:00,NULL
1,194,HRSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,194,Medium,ORG\maria.lannister,NULL,Other,Other related note for object 194,mailto:example194@example.com,3/29/2025 0:00,NULL
1,194,HRSQLCL01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,194,Medium,ORG\maria.lannister,NULL,Other,Other related note for object 194,mailto:example194@example.com,3/29/2025 0:00,NULL
1,195,HRSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Capacity Management,Medium,Monitor CPU usage and optimize performance,N,195,Low,ORG\maria.lannister,Sample note for object 195,NULL,NULL,NULL,2/7/2025 0:00,NULL
1,195,HRSQLFCI01,DATACENTERSQLCL01;DATACENTERSQLFCI01;DATACENTERAG01;FinanceDB; HRSQLCL01;HRSQLFCI01;HRAG01;SupportDB; LOGISTICSQLFCI01;LOGISTICSQL03;SupportDB; HRSQLCL01;HRSQLFCI01;HRAG01;MarketingDB; CHICAGOSQLFCI01;CHICAGOSQL03;SalesDB,Database Files,Medium,Monitor CPU usage and optimize performance,N,195,Low,ORG\maria.lannister,Sample note for object 195,NULL,NULL,NULL,2/7/2025 0:00,NULL
