finding_object_id,level_of_effort,assigned_to,notes,exception,exception_notes,exception_proof,start_date,end_date,fixed
1,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 1).,,2025-03-13,,N
2,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 2).,,2025-02-20,2025-05-28,N
3,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 3).,,2025-03-10,,N
4,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 4).,,2025-02-26,2025-08-17,N
5,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 5).,,2025-03-01,,N
6,Low,ORG\EmmaStone,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 6).,,2025-02-08,2025-06-29,N
7,Low,ORG\EmmaStone,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 7).,,2025-02-09,,N
8,High,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 8).,,2025-03-01,2025-03-06,Y
9,High,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 9).,,2025-03-06,,N
10,High,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 10).,,2025-03-12,2025-09-04,N
11,High,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 11).,,2025-02-16,,N
12,High,ORG\EmmaStone,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 12).,,2025-02-05,2025-05-15,N
13,High,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 13).,,2025-03-03,,N
14,High,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 14).,,2025-01-30,2025-05-05,N
15,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 15).,,2025-02-28,2025-06-13,N
16,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 16).,,2025-02-13,2025-04-02,Y
17,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 17).,,2025-03-03,2025-08-16,N
18,Low,ORG\EmmaStone,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 18).,,2025-02-06,2025-08-01,N
19,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 19).,,2025-03-21,2025-05-04,N
20,Low,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 20).,,2025-02-25,2025-04-05,Y
21,Low,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 21).,,2025-02-12,2025-02-22,Y
22,Low,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 22).,,2025-03-20,2025-05-07,N
23,Low,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 23).,,2025-02-17,,N
24,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 24).,,2025-02-15,,N
25,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 25).,,2025-03-23,,N
26,Low,ORG\KeanuReeves,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 26).,,2025-02-27,2025-06-04,N
27,Low,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 27).,,2025-02-18,2025-04-02,Y
28,Low,ORG\EmmaStone,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 28).,,2025-02-06,2025-05-14,N
29,Medium,ORG\ChrisHemsworth,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 29).,,2025-03-22,2025-06-08,N
30,Medium,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 30).,,2025-03-29,2025-05-26,N
31,Medium,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 31).,,2025-02-06,2025-04-05,Y
32,Medium,ORG\EmiliaClarke,Finding addressed by GPO configuration.,GPO,Managed by Group Policy (Finding Group ID: 32).,,2025-02-06,2025-07-25,N
